Type,Country Code,Series Code,Description
Country-Series,Aruba (ABW),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Andorra (ADO),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Afghanistan (AFG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Angola (AGO),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Albania (ALB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,United Arab Emirates (ARE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Argentina (ARG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Armenia (ARM),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Antigua and Barbuda (ATG),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Australia (AUS),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
Country-Series,Australia (AUS),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Australian Bureau of Statistics
Country-Series,Austria (AUT),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Azerbaijan (AZE),"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",Including Nagorno-Karabakh.
Country-Series,Azerbaijan (AZE),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : State Statistical Committee, Eurostat, United Nations World Population Prospects"
Country-Series,Burundi (BDI),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Belgium (BEL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Benin (BEN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Burkina Faso (BFA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bangladesh (BGD),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bulgaria (BGR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : Eurostat
Country-Series,Bahrain (BHR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,"Bahamas, The (BHS)","Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bosnia and Herzegovina (BIH),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Belarus (BLR),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Eurostat, Center for Demography and Human Ecology, United Nations World Population Prospects"
Country-Series,Belize (BLZ),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bermuda (BMU),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
Country-Series,Bolivia (BOL),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Brazil (BRA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Barbados (BRB),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Brunei Darussalam (BRN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Bhutan (BTN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Botswana (BWA),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Central African Republic (CAF),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)",Data sources : United Nations World Population Prospects
Country-Series,Canada (CAN),"Fertility rate, total (births per woman) (SP.DYN.TFRT.IN)","Data sources : Statistics Canada, United Nations World Population Prospects"
