Type,Series Code,Time Code,Description
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2003 (YR2003),Interpolated using data for 2002 and 2007.
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2004 (YR2004),Interpolated using data for 2002 and 2007.
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2005 (YR2005),Interpolated using data for 2002 and 2007.
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2006 (YR2006),Interpolated using data for 2002 and 2007.
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2007 (YR2007),The data refer to 2005-2010.
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2008 (YR2008),Interpolated using data for 2007 and 2012.
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2009 (YR2009),Interpolated using data for 2007 and 2012.
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2010 (YR2010),Interpolated using data for 2007 and 2012.
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2011 (YR2011),Interpolated using data for 2007 and 2012.
Series-Time,"Adolescent fertility rate (births per 1,000 women ages 15-19) (SP.ADO.TFRT)",2012 (YR2012),The data refer to 2010-2015.
