"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","WEALTHQUINTILE (CODE)","WEALTHQUINTILE (DISPLAY)","WEALTHQUINTILE (URL)","Display Value","Numeric","Low","High","Comments"
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1996","1996","","AFR","Africa","","TCD","Chad","","WQ1","Q1 (Poorest)","","0.0","0.00000","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2004","2004","","AFR","Africa","","TCD","Chad","","WQ1","Q1 (Poorest)","","0.0","0.00000","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2000","2000","","AFR","Africa","","ETH","Ethiopia","","WQ1","Q1 (Poorest)","","0.0","0.00000","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1996","1996","","AFR","Africa","","TCD","Chad","","WQ2","Q2","","0.0","0.00000","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2004","2004","","AFR","Africa","","TCD","Chad","","WQ4","Q4","","0.0","0.00000","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2004","2004","","AFR","Africa","","TCD","Chad","","WQ1","Q1 (Poorest)","","0.0","0.00000","","",""
"csection5","Births by caesarean section (in the five years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","1996","1996","","AFR","Africa","","TCD","Chad","","WQ1","Q1 (Poorest)","","0.0","0.00000","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2004","2004","","AFR","Africa","","TCD","Chad","","WQ2","Q2","","0.0","0.00000","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2000","2000","","AFR","Africa","","ETH","Ethiopia","","WQ2","Q2","","0.0","0.00000","","",""
"csection3","Births by caesarean section (in the three years preceding the survey) (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3326","EQ_DHS","DHS","http://www.measuredhs.com/What-We-Do/Survey-Types/DHS.cfm","PUBLISHED","Published","","2003","2003","","AFR","Africa","","MDG","Madagascar","","WQ1","Q1 (Poorest)","","0.0","0.00000","","",""
