Type,Country Code,Series Code,Time Code,Description
FootNote,Afghanistan (AFG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"MICS 2003, p. 2."
FootNote,Afghanistan (AFG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),Afghanistan Household Survey
FootNote,Afghanistan (AFG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),"Making pregnancy safer statistics in the Eastern Mediterranean Region, 2009"
FootNote,Afghanistan (AFG),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2011 (YR2011),"Source: MICS 2010-2011, page 99, Table 8.7"
FootNote,Angola (AGO),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2007 (YR2007),"Source: MIS 2006-2007, Final report, Table 3.8, p. 25"
FootNote,Albania (ALB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),"TransMONEE database 2010, Table 6.1"
FootNote,Albania (ALB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2004 (YR2004),"TransMONEE database 2010, Table 6.1"
FootNote,Albania (ALB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2005 (YR2005),"MICS 2005, Final report, Table RH.4, p.76"
FootNote,Albania (ALB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2006 (YR2006),"TransMONEE database 2010, Table 6.1"
FootNote,Albania (ALB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2009 (YR2009),"Source: DHS 2008-2009, Page 132/Table 9.6"
FootNote,Arab World (ARB),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2010 (YR2010),Aggregation based on most recent available country-level data (2007-).
FootNote,United Arab Emirates (ARE),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2003 (YR2003),Making pregnancy safer statistics in the Eastern Mediterranean Region 2005. WHO regional office for the Eastern Mediterranian
FootNote,United Arab Emirates (ARE),Births attended by skilled health staff (% of total) (SH.STA.BRTC.ZS),2008 (YR2008),"Source: Making pregnancy safer statistics in the Eastern Mediterranean Region, 2009"
