Country,code3,MaternalLeave,PaternalLeave,MaternalDeath,FemaleLaborForceTotal,FemaleLaborForceParticipationRate,FertilityRate
Afghanistan,AFG,Less than 14 weeks,Less than 3 weeks,49,16.27688542,15.69999981,5.141
Albania,ALB,52 weeks or more,No paid leave,2800,41.14538432,45,1.76
Algeria,DZA,14 - 25 weeks,Less than 3 weeks,380,17.03636066,15,2.82
American Samoa,ASM,No data,No data,No data,No data,No data,No data
Andorra,ADO,14 - 25 weeks,3 - 13 weeks,No data,No data,No data,No data
Angola,AGO,Less than 14 weeks,No paid leave,35,46.02498877,63.09999847,5.979
Antigua and Barbuda,ATG,Less than 14 weeks,No paid leave,No data,No data,No data,2.102
Argentina,ARG,Less than 14 weeks,Less than 3 weeks,630,40.28479247,47.29999924,2.188
Armenia,ARM,52 weeks or more,14 weeks or more,1800,41.11532289,51.59999847,1.739
Aruba,ABW,No data,No data,No data,No data,No data,1.681
Australia,AUS,14 - 25 weeks,14 weeks or more,9000,45.54588896,58.79999924,1.927
Austria,AUT,52 weeks or more,14 weeks or more,19200,46.29300718,54.59999847,1.44
Azerbaijan,AZE,52 weeks or more,14 weeks or more,1800,49.01158761,62.5,2
Bahamas,BHS,Less than 14 weeks,No paid leave,1400,48.33030903,69.30000305,1.893
Bahrain,BHR,Less than 14 weeks,Less than 3 weeks,2000,19.49110382,39.40000153,2.094
Bangladesh,BGD,14 - 25 weeks,No paid leave,250,40.1154372,57.29999924,2.208
Barbados,BRB,Less than 14 weeks,No paid leave,1100,46.58890845,65.90000153,1.845
Belarus,BLR,52 weeks or more,14 weeks or more,45200,48.76948306,49.90000153,1.62
Belgium,BEL,26 - 51 weeks,14 weeks or more,8700,45.44824604,46.90000153,1.79
Belize,BLZ,14 - 25 weeks,No paid leave,750,37.69217531,49.09999847,2.715
Benin,BEN,14 - 25 weeks,No paid leave,59,46.97283637,67.5,4.927
Bermuda,BMU,No data,No data,No data,No data,No data,1.76
Bhutan,BTN,Less than 14 weeks,Less than 3 weeks,340,41.48100155,66.40000153,2.275
Bolivia,BOL,Less than 14 weeks,Less than 3 weeks,140,44.84195975,64.09999847,3.264
Bosnia and Herzegovina,BIH,52 weeks or more,Less than 3 weeks,9700,38.85621032,34.09999847,1.268
Botswana,BWA,Less than 14 weeks,No paid leave,200,46.67923061,71.80000305,2.665
Brazil,BRA,14 - 25 weeks,Less than 3 weeks,780,43.7480418,59.5,1.811
Brunei,BRN,14 - 25 weeks,No paid leave,1900,40.79471545,52.90000153,2.012
Bulgaria,BGR,52 weeks or more,14 weeks or more,12400,46.63998817,47.79999924,1.5
Burkina Faso,BFA,14 - 25 weeks,No paid leave,44,47.40870221,77.09999847,5.693
Burundi,BDI,Less than 14 weeks,No paid leave,22,51.37674181,83.19999695,6.123
Cambodia,KHM,Less than 14 weeks,Less than 3 weeks,180,50.05071643,78.90000153,2.894
Cameroon,CMR,14 - 25 weeks,No paid leave,34,45.63651292,63.59999847,4.859
Canada,CAN,26 - 51 weeks,14 weeks or more,5200,47.12712508,61.59999847,1.61
Cape Verde,CPV,Less than 14 weeks,Less than 3 weeks,No data,No data,No data,No data
Cayman Islands,CYM,No data,No data,No data,No data,No data,No data
Central African Republic,CAF,14 - 25 weeks,No paid leave,27,47.16057654,72.5,4.451
Chad,TCD,14 - 25 weeks,Less than 3 weeks,15,44.93494719,64,6.375
Chile,CHL,26 - 51 weeks,3 - 13 weeks,2400,40.51737225,49,1.832
China,CHN,14 - 25 weeks,No paid leave,1800,43.63854456,63.79999924,1.663
Colombia,COL,14 - 25 weeks,Less than 3 weeks,500,42.65724352,55.70000076,2.316
Comoros,COM,14 - 25 weeks,No paid leave,58,30.4076245,35,4.782
Democratic Republic of the Congo,ZAR,14 - 25 weeks,Less than 3 weeks,23,49.86409334,70.69999695,6.039
Republic of the Congo,COG,14 - 25 weeks,No paid leave,48,48.63731893,68.40000153,5.012
Costa Rica,CRI,14 - 25 weeks,No paid leave,1400,36.42517659,46.40000153,1.81
Cote d'Ivoire,CIV,14 - 25 weeks,No paid leave,29,37.59927772,52.20000076,4.894
Croatia,HRV,52 weeks or more,14 weeks or more,5200,45.67279976,44.79999924,1.51
Cuba,CUB,52 weeks or more,14 weeks or more,970,38.16254695,43.29999924,1.453
Curacao,CUW,No data,No data,No data,No data,No data,2.2
Cyprus,CYP,14 - 25 weeks,No paid leave,6600,43.09544456,55.79999924,1.465
Czech Republic,CZE,52 weeks or more,14 weeks or more,12100,43.59376113,50.09999847,1.45
Denmark,DNK,52 weeks or more,14 weeks or more,12000,47.35827019,59.09999847,1.73
Djibouti,DJI,14 - 25 weeks,Less than 3 weeks,130,34.89846768,36.09999847,3.457
Dominica,DMA,Less than 14 weeks,No paid leave,No data,No data,No data,No data
Dominican Republic,DOM,Less than 14 weeks,Less than 3 weeks,360,39.71650554,51.20000076,2.517
Ecuador,ECU,Less than 14 weeks,Less than 3 weeks,420,40.10172672,54.40000153,2.59
Egypt,EGY,Less than 14 weeks,No paid leave,710,24.17786022,23.60000038,2.807
El Salvador,SLV,Less than 14 weeks,Less than 3 weeks,600,41.59253158,47.59999847,2.209
Equatorial Guinea,GNQ,Less than 14 weeks,No paid leave,72,44.81052461,80.59999847,4.945
Eritrea,ERI,Less than 14 weeks,No paid leave,52,48.1197374,79.90000153,4.785
Estonia,EST,52 weeks or more,14 weeks or more,5700,49.4443004,56,1.55
Ethiopia,ETH,Less than 14 weeks,No paid leave,52,47.03757584,78.19999695,4.642
Faeroe Islands,FRO,No data,No data,No data,No data,No data,No data
Fiji,FJI,Less than 14 weeks,No paid leave,620,33.60307914,37.5,2.615
Finland,FIN,52 weeks or more,14 weeks or more,15100,47.77973716,56,1.8
France,FRA,26 - 51 weeks,14 weeks or more,4300,47.38013862,50.90000153,2.01
French Polynesia,PYF,No data,No data,No data,41.1988453,47.09999847,2.075
Gabon,GAB,14 - 25 weeks,No paid leave,94,46.12529208,56,4.136
The Gambia,GMB,26 - 51 weeks,Less than 3 weeks,39,47.82487704,72.19999695,5.775
Georgia,GEO,14 - 25 weeks,No paid leave,1300,47.01290726,56.20000076,1.82
Germany,DEU,52 weeks or more,14 weeks or more,11000,45.88687118,53.5,1.38
Ghana,GHA,Less than 14 weeks,No paid leave,66,49.95879995,67.19999695,3.92
Greece,GRC,26 - 51 weeks,14 weeks or more,12000,42.40548511,44.20000076,1.34
Greenland,GRL,No data,No data,No data,No data,No data,1.983
Grenada,GRD,Less than 14 weeks,No paid leave,1800,No data,No data,2.194
Guam,GUM,No data,No data,No data,44.09086053,55.79999924,2.426
Guatemala,GTM,Less than 14 weeks,Less than 3 weeks,170,38.22630147,49.09999847,3.844
Guinea,GIN,14 - 25 weeks,No paid leave,30,45.70936853,65.5,5.001
Guinea-Bissau,GNB,Less than 14 weeks,No paid leave,36,46.99568645,68.09999847,4.989
Guyana,GUY,Less than 14 weeks,No paid leave,150,34.82507789,42.29999924,2.591
Haiti,HTI,Less than 14 weeks,No paid leave,80,47.4819005,60.59999847,3.212
Honduras,HND,Less than 14 weeks,No paid leave,260,34.36577796,42.5,3.05
Hong Kong,HKG,No data,No data,No data,47.06898594,51.59999847,1.285
Hungary,HUN,52 weeks or more,14 weeks or more,5000,45.85520654,44.70000076,1.34
Iceland,ISL,26 - 51 weeks,14 weeks or more,11500,47.57790248,70.59999847,2.04
India,IND,Less than 14 weeks,No paid leave,190,25.25036803,28.79999924,2.505
Indonesia,IDN,Less than 14 weeks,Less than 3 weeks,220,37.94346674,51.29999924,2.37
Iran,IRN,26 - 51 weeks,No paid leave,2000,18.25343906,16.39999962,1.917
Iraq,IRQ,Less than 14 weeks,No paid leave,340,17.41823282,14.69999981,4.086
Ireland,IRL,26 - 51 weeks,No paid leave,5500,44.51343156,52.70000076,2.01
Israel,ISR,14 - 25 weeks,3 - 13 weeks,17400,46.73019039,58.09999847,3.04
Italy,ITA,26 - 51 weeks,14 weeks or more,17100,41.74313986,39.40000153,1.4
Jamaica,JAM,Less than 14 weeks,No paid leave,540,45.47580019,56.09999847,2.284
Japan,JPN,52 weeks or more,14 weeks or more,12100,42.23520318,48.09999847,1.41
Jordan,JOR,Less than 14 weeks,No paid leave,580,18.13893606,15.30000019,3.314
Kazakhstan,KAZ,14 - 25 weeks,No paid leave,1500,49.45111403,67.5,2.59
Kenya,KEN,Less than 14 weeks,Less than 3 weeks,53,46.56717103,62,4.459
Kiribati,KIR,Less than 14 weeks,No paid leave,260,No data,No data,2.982
Democratic People's Republic of Korea,PRK,Less than 14 weeks,No paid leave,630,47.91456179,72.30000305,1.995
Republic of Korea,KOR,52 weeks or more,14 weeks or more,2900,41.56235357,49.90000153,1.297
Kosovo,KSV,No data,No data,No data,No data,No data,2.19
Kuwait,KWT,Less than 14 weeks,No paid leave,2600,23.77213478,43.40000153,2.626
Kyrgyzstan,KGZ,14 - 25 weeks,No paid leave,390,42.66439593,55.70000076,3.1
Laos,LAO,Less than 14 weeks,3 - 13 weeks,130,50.09730652,76.30000305,3.108
Latvia,LVA,52 weeks or more,14 weeks or more,4600,50.00191164,54.5,1.44
Lebanon,LBN,Less than 14 weeks,No paid leave,3900,23.59863549,22.79999924,1.498
Lesotho,LSO,Less than 14 weeks,No paid leave,64,45.85924618,58.79999924,3.092
Liberia,LBR,Less than 14 weeks,No paid leave,31,47.5380184,58.20000076,4.868
Libya,LBY,14 - 25 weeks,No paid leave,2700,28.27456561,30,2.41
Liechtenstein,LIE,14 - 25 weeks,No paid leave,No data,No data,No data,1.51
Lithuania,LTU,52 weeks or more,14 weeks or more,5900,50.49509525,55.79999924,1.6
Luxembourg,LUX,26 - 51 weeks,14 weeks or more,5300,44.46417273,50.70000076,1.57
Macao,MAC,No data,No data,No data,48.41923345,65.90000153,1.058
Macedonia,MKD,26 - 51 weeks,Less than 3 weeks,10200,39.08229079,42.90000153,1.436
Madagascar,MDG,14 - 25 weeks,No paid leave,47,49.43825908,86.80000305,4.528
Malawi,MWI,Less than 14 weeks,No paid leave,34,51.29778956,84.69999695,5.471
Malaysia,MYS,Less than 14 weeks,No paid leave,1600,38.55963339,44.29999924,1.975
Maldives,MDV,Less than 14 weeks,Less than 3 weeks,1200,42.05537853,55.90000153,2.287
Mali,MLI,14 - 25 weeks,Less than 3 weeks,26,38.48943887,50.59999847,6.852
Malta,MLT,14 - 25 weeks,Less than 3 weeks,8300,36.59565096,38,1.43
Mauritania,MRT,14 - 25 weeks,Less than 3 weeks,66,26.559691,28.60000038,4.728
Mauritius,MUS,Less than 14 weeks,Less than 3 weeks,900,37.77498158,43.5,1.43
Mexico,MEX,Less than 14 weeks,Less than 3 weeks,900,38.50007837,45,2.216
Micronesia,FSM,No paid leave,No paid leave,320,No data,No data,3.347
Moldova,MDA,52 weeks or more,14 weeks or more,2900,49.31587755,37,1.462
Monaco,MCO,14 - 25 weeks,Less than 3 weeks,No data,No data,No data,No data
Mongolia,MNG,52 weeks or more,14 weeks or more,560,45.73785467,56.09999847,2.446
Montenegro,MNE,52 weeks or more,Data is not available,8900,44.03379722,43,1.676
Morocco,MAR,14 - 25 weeks,Less than 3 weeks,300,26.92202733,26.29999924,2.706
Mozambique,MOZ,Less than 14 weeks,Less than 3 weeks,41,53.02968185,85.69999695,5.263
Myanmar,MMR,Less than 14 weeks,No paid leave,250,49.8193595,75.19999695,1.959
Namibia,NAM,Less than 14 weeks,No paid leave,230,48.68909121,54.29999924,3.107
Nauru,NRU,No paid leave,No paid leave,No data,No data,No data,No data
Nepal,NPL,Less than 14 weeks,No paid leave,200,50.80998111,79.90000153,2.389
The Netherlands,NLD,14 - 25 weeks,Less than 3 weeks,10700,46.07969851,58.70000076,1.72
New Caledonia,NCL,No data,No data,No data,40.01525675,45.70000076,2.149
New Zealand,NZL,14 - 25 weeks,14 weeks or more,6600,47.10385692,62.09999847,2.05
Nicaragua,NIC,Less than 14 weeks,No paid leave,340,38.22515234,47,2.541
Niger,NER,14 - 25 weeks,No paid leave,20,31.05636988,39.90000153,7.574
Nigeria,NGA,Less than 14 weeks,No paid leave,31,42.4788653,48.09999847,6.002
Northern Mariana Islands,MNP,No data,No data,No data,No data,No data,No data
Norway,NOR,26 - 51 weeks,14 weeks or more,14900,47.15328937,61.5,1.85
Oman,OMN,Less than 14 weeks,No paid leave,2800,15.5146172,28.60000038,2.884
Pakistan,PAK,Less than 14 weeks,No paid leave,170,22.03953004,24.39999962,3.264
Panama,PAN,14 - 25 weeks,No paid leave,450,37.18627691,49,2.493
Papua New Guinea,PNG,No paid leave,No paid leave,120,48.26482222,70.5,3.838
Paraguay,PRY,Less than 14 weeks,Less than 3 weeks,290,39.30957123,55.40000153,2.897
Peru,PER,Less than 14 weeks,No paid leave,440,44.88002326,68,2.448
The Philippines,PHL,Less than 14 weeks,Less than 3 weeks,250,39.47868636,51,3.076
Poland,POL,52 weeks or more,14 weeks or more,19800,45.2304611,48.90000153,1.3
Portugal,PRT,26 - 51 weeks,14 weeks or more,8800,47.23207809,55.40000153,1.28
Puerto Rico,PRI,No data,No data,3000,42.52130833,34.09999847,1.644
Qatar,QAT,Less than 14 weeks,No paid leave,7200,11.5962438,50.79999924,2.036
Romania,ROM,52 weeks or more,14 weeks or more,2100,44.57924164,48.5,1.53
Russian Federation,RUS,52 weeks or more,14 weeks or more,2600,49.16998049,57,1.59
Rwanda,RWA,Less than 14 weeks,Less than 3 weeks,66,52.36969104,86.5,4.616
Samoa,WSM,Less than 14 weeks,Less than 3 weeks,430,27.45743871,23.39999962,4.212
San Marino,SMR,52 weeks or more,No paid leave,No data,No data,No data,1.26
Sao Tome and Principe,STP,Less than 14 weeks,No paid leave,100,38.02024747,44.90000153,4.145
